serial,type,cycle,value
SN 001,F01,4,1.2342169443733333
SN 001,F01,4,1.2319492340066667
SN 001,F01,4,1.2294759114566667
SN 001,F01,4,1.2287864685033334
SN 001,F01,4,1.2277383168533333
SN 001,F01,4,1.2273086547833332
SN 001,F01,4,1.22763633728
SN 001,F01,4,1.2272406260166666
SN 001,F01,4,1.22605336507
SN 001,F01,4,1.2241134643533333
SN 001,F01,4,1.2189982096333334
SN 001,F01,4,1.2192811330133333
SN 001,F01,4,1.22155965169
SN 001,F01,4,1.2229895273833333
SN 001,F01,4,1.2237346649166667
SN 001,F01,4,1.2249265034966668
SN 001,F01,4,1.2264909108466666
SN 001,F01,4,1.2256669362366668
SN 001,F01,4,1.2256252288799998
SN 001,F01,4,1.2272853851299999
SN 001,F01,4,1.22506713867
SN 001,F01,4,1.2237068176266668
SN 001,F01,4,1.22611834208
SN 001,F01,4,1.2262373606333334
SN 001,F01,4,1.2273905436166668
SN 001,F01,4,1.2274555206266666
SN 001,F01,4,1.2283227284733333
SN 001,F01,4,1.2300076802566666
SN 001,F01,4,1.2327236175533334
SN 001,F01,4,1.2346528371166667
SN 001,F01,4,1.2343251546199998
SN 001,F01,4,1.2336804707833333
SN 001,F01,4,1.2320589701333333
SN 001,F01,4,1.22853444417
SN 001,F01,4,1.2305703481033334
SN 001,F01,4,1.2326417287166669
SN 001,F01,4,1.22990875244
SN 001,F01,4,1.2317328135166667
SN 001,F01,4,1.23156115214
SN 001,F01,4,1.22707672119
SN 001,F01,4,1.22863807678
SN 001,F01,4,1.2252805074033333
SN 001,F01,4,1.2250239054333332
SN 001,F01,4,1.2290785471566668
SN 001,F01,4,1.22984224955
SN 001,F01,4,1.2364877065
SN 001,F01,4,1.2388126373266668
SN 001,F01,4,1.2369252522766667
SN 001,F01,4,1.2361075083400002
SN 001,F01,4,1.2344426472966668
SN 001,F01,4,1.2346327463766669
SN 001,F01,5,1.2520000457733333
SN 001,F01,5,1.25491243998
SN 001,F01,5,1.2577428181933332
SN 001,F01,5,1.2600446065266666
SN 001,F01,5,1.2628518422433332
SN 001,F01,5,1.26538391113
SN 001,F01,5,1.2680365244533334
SN 001,F01,5,1.2707757314033332
SN 001,F01,5,1.2721004486066667
SN 001,F01,5,1.27153930664
SN 001,F01,5,1.2697987874333334
SN 001,F01,5,1.26852493286
SN 001,F01,5,1.2651148478166665
SN 001,F01,5,1.2631594339999999
SN 001,F01,5,1.2638240814200001
SN 001,F01,5,1.2626168568899998
SN 001,F01,5,1.2607014973933335
SN 001,F01,5,1.2573965708400001
SN 001,F01,5,1.2542940775533333
SN 001,F01,5,1.25198160807
SN 001,F01,5,1.25253346761
SN 001,F01,5,1.2525581359833333
SN 001,F01,5,1.2546450297033334
